,open,high,low,close,volume
2014-06-23,114.99,115.66,113.86,113.97,10211.0
2014-06-24,113.9,115.66,113.55,114.13,10903.0
2014-06-25,114.31,114.83,113.23,114.22,11532.0
2014-06-26,114.24,114.65,113.0,113.02,8810.0
2014-06-27,113.07,114.29,112.9,113.18,7912.0
2014-06-30,113.3,113.3,112.16,112.4,9260.0
2014-07-01,112.5,113.3,111.85,112.01,9404.0
2014-07-02,112.19,112.83,110.92,111.07,10924.0
2014-07-03,111.0,112.42,110.53,111.06,8380.0
2014-07-04,110.83,111.16,110.48,110.49,1928.0
2014-07-07,110.75,110.84,109.82,109.85,4278.0
2014-07-08,110.09,110.84,108.84,109.01,6431.0
2014-07-09,108.96,110.13,108.31,108.32,5196.0
2014-07-10,108.3,109.2,107.98,108.85,7017.0
2014-07-11,108.94,109.2,106.96,107.25,10516.0
2014-07-14,107.22,108.12,106.92,107.6,10231.0
2014-07-15,107.51,108.12,105.59,106.75,16082.0
2014-07-16,106.81,107.96,105.59,107.08,12623.0
2014-07-17,107.13,108.6,106.75,108.45,13691.0
2014-07-18,108.5,108.62,106.8,107.14,10392.0
2014-07-21,107.15,107.87,106.79,107.68,10696.0
2014-07-22,107.8,108.4,106.79,106.89,9932.0
2014-07-23,106.87,108.4,106.83,108.18,10765.0
2014-07-24,108.15,108.21,106.83,107.13,9490.0
2014-07-25,107.2,108.46,106.73,108.13,14173.0
2014-07-28,108.3,108.38,107.01,107.5,9138.0
2014-07-29,107.46,108.38,107.01,107.5,11150.0
2014-07-30,107.5,108.05,105.84,106.03,13024.0
2014-07-31,106.06,107.86,105.41,105.52,13941.0
2014-08-01,105.6,106.59,104.39,104.69,12169.0
2014-08-04,104.82,105.71,104.52,105.51,8668.0
2014-08-05,105.5,105.71,104.07,104.91,8216.0
2014-08-06,104.88,105.65,104.07,104.59,7125.0
2014-08-07,104.64,105.92,104.16,105.84,7464.0
2014-08-08,105.67,106.85,104.16,104.67,9045.0
2014-08-11,105.0,105.43,104.35,104.35,6926.0
2014-08-12,105.17,106.13,103.49,103.8,11992.0
2014-08-13,103.73,105.35,103.26,104.68,14137.0
2014-08-14,104.9,105.13,101.91,102.08,18436.0
2014-08-15,102.05,103.76,102.05,103.4,9690.0
2014-08-18,103.21,103.3,101.11,101.79,12290.0
2014-08-19,101.62,103.3,101.07,101.6,11312.0
2014-08-20,101.5,102.37,101.07,102.29,11580.0
2014-08-21,102.14,102.79,101.21,102.69,11851.0
2014-08-22,102.67,102.83,101.21,102.1,9906.0
2014-08-25,102.1,102.82,101.65,102.66,7586.0
2014-08-26,102.71,103.4,101.65,102.58,10005.0
2014-08-27,102.42,103.4,102.05,102.6,10733.0
2014-08-28,102.54,103.2,102.05,102.47,11720.0
2014-08-29,102.51,103.3,102.25,103.04,9440.0
2014-09-01,102.95,103.3,102.56,102.6,4312.0
2014-09-02,102.64,103.3,100.17,100.45,10924.0
2014-09-03,100.4,103.13,100.17,102.35,11165.0
2014-09-04,102.41,103.13,100.4,101.85,9141.0
2014-09-05,101.87,102.95,100.35,100.97,9198.0
2014-09-08,100.8,101.0,99.36,100.25,9540.0
2014-09-09,100.2,101.0,99.03,99.21,4869.0
2014-09-10,99.35,99.47,97.6,98.14,7267.0
2014-09-11,98.81,100.25,97.48,98.95,8671.0
2014-09-12,98.92,99.59,97.48,97.8,9584.0
2014-09-15,97.73,98.4,97.02,98.0,9963.0
2014-09-16,97.96,99.45,97.02,99.0,8647.0
2014-09-17,98.95,99.61,97.44,98.72,9307.0
2014-09-18,98.69,99.61,97.42,97.62,9303.0
2014-09-19,97.65,99.14,97.18,98.38,8656.0
2014-09-22,98.5,98.5,96.38,96.85,9143.0
2014-09-23,96.91,98.5,96.38,96.94,9379.0
2014-09-24,96.89,97.59,95.6,97.09,10491.0
2014-09-25,97.03,97.56,95.6,97.05,9450.0
2014-09-26,97.11,97.56,96.22,96.9,9083.0
2014-09-29,96.81,97.34,96.27,97.07,8357.0
2014-09-30,97.15,97.8,94.24,94.8,11491.0
2014-10-01,94.77,97.8,93.78,94.26,10993.0
2014-10-02,94.3,96.23,91.55,93.75,16515.0
2014-10-03,93.75,94.37,91.48,92.25,12690.0
2014-10-06,91.9,93.21,91.25,92.83,9921.0
2014-10-07,92.81,93.21,91.25,91.71,9019.0
2014-10-08,92.33,93.49,91.0,92.14,8426.0
2014-10-09,92.02,92.33,88.77,89.23,8282.0
2014-10-10,89.56,92.23,88.35,90.27,10706.0
2014-10-13,90.4,90.57,87.1,88.61,10846.0
2014-10-14,88.75,90.57,84.83,86.05,13598.0
2014-10-15,85.96,89.28,83.38,83.75,17412.0
2014-10-16,83.36,88.0,82.93,86.76,16394.0
2014-10-17,86.5,88.0,82.93,86.1,16034.0
2014-10-20,86.35,86.7,84.41,85.34,13272.0
2014-10-21,85.13,86.7,84.41,86.43,12517.0
2014-10-22,86.46,87.07,84.47,84.68,12301.0
2014-10-23,84.71,87.19,84.12,86.7,14609.0
2014-10-24,86.78,87.19,84.12,86.25,12356.0
2014-10-27,86.08,86.25,84.55,85.43,11429.0
2014-10-28,85.5,86.38,84.55,86.23,10466.0
2014-10-29,86.1,87.94,85.08,86.76,12408.0
