,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300491.XSHE,通合科技,1.211,6.6574,1.8874,28.3505,电气设备I,2015-12-31
300264.XSHE,佳创视讯,-1.3415,5.1965,1.4728,28.3417,计算机I,2011-09-16
300604.XSHE,长川科技,0.0245,9.6471,2.6966,27.9521,机械设备I,2017-04-17
300120.XSHE,经纬辉开,3.9936,24.7311,6.9034,27.914,电子I,2010-09-17
300682.XSHE,朗新科技,3.1981,41.3511,11.5209,27.8612,计算机I,2017-08-01
300370.XSHE,安控科技,0.0587,10.4206,2.8977,27.807,机械设备I,2014-01-23
300500.XSHE,启迪设计,6.3903,14.4397,4.013,27.7912,建筑装饰I,2016-02-04
300095.XSHE,华伍股份,2.3706,13.4618,3.7337,27.7356,机械设备I,2010-07-28
300680.XSHE,隆盛科技,0.7714,5.7815,1.594,27.5705,汽车I,2017-07-25
300128.XSHE,锦富技术,0.1016,12.7638,3.5001,27.4218,电子I,2010-10-13
300100.XSHE,双林股份,0.5277,27.3231,7.4784,27.3703,汽车I,2010-08-06
300398.XSHE,飞凯材料,6.4687,23.8864,6.4646,27.064,化工I,2014-10-09
300340.XSHE,科恒股份,-0.4802,14.4696,3.888,26.8702,电子I,2012-07-26
300323.XSHE,华灿光电,-18.2229,51.6496,13.8108,26.7393,电子I,2012-06-01
300479.XSHE,神思电子,0.4982,6.6936,1.7721,26.4742,计算机I,2015-06-12
300635.XSHE,中达安,1.792,6.5954,1.7391,26.3691,建筑装饰I,2017-03-31
300077.XSHE,国民技术,-4.3898,9.6457,2.5361,26.293,电子I,2010-04-30
300190.XSHE,维尔利,6.8635,39.0501,10.2362,26.213,公用事业I,2011-03-16
300560.XSHE,中富通,1.4932,6.0197,1.5521,25.7836,通信I,2016-11-01
300053.XSHE,欧比特,1.7816,32.4689,8.3624,25.7551,电子I,2010-02-11
300308.XSHE,中际旭创,15.057,67.3726,17.1676,25.4815,通信I,2012-04-10
300022.XSHE,吉峰科技,-1.5876,3.9997,1.0166,25.4169,商业贸易I,2009-10-30
300168.XSHE,万达信息,0.2556,39.2766,9.8277,25.0216,计算机I,2011-01-25
300480.XSHE,光力科技,0.7892,7.2999,1.7965,24.6104,机械设备I,2015-07-02
300390.XSHE,天华超净,2.3176,8.8474,2.1715,24.544,电子I,2014-07-31
