,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
002142.XSHE,宁波银行,-1.41,2.94,2.19,-11.95,-9.09,-16.67,-27.08,0.0,0.0,0.0,0.0,5.33,-18.35,42.64,-23.91,0.0,66.42,2018-08-10,pb
601939.XSHG,建设银行,-0.97,0.99,0.0,3.03,9.68,-5.56,-10.53,0.0,0.0,0.0,0.0,-21.48,-17.92,32.18,-11.3,0.0,32.83,2018-08-10,pb
601128.XSHG,常熟银行,0.0,2.52,-1.61,0.83,0.83,-13.48,-18.12,0.0,0.0,0.0,0.0,,,-33.9,-21.79,0.0,32.52,2018-08-10,pb
600016.XSHG,民生银行,0.0,1.45,0.0,2.94,2.94,-7.89,-11.39,0.0,0.0,0.0,0.0,-22.58,-15.83,-15.84,-17.65,0.0,21.61,2018-08-10,pb
601288.XSHG,农业银行,0.0,2.3,1.14,3.49,5.95,-2.2,-5.32,0.0,0.0,0.0,0.0,-23.93,-13.48,22.08,-5.32,0.0,28.24,2018-08-10,pb
601818.XSHG,光大银行,-1.37,0.0,-1.37,1.41,1.41,-7.69,-8.86,0.0,0.0,0.0,0.0,-28.35,-19.78,21.92,-19.1,0.0,21.45,2018-08-10,pb
601997.XSHG,贵阳银行,-0.91,1.87,-2.68,0.93,0.0,-9.92,-18.66,0.0,0.0,0.0,0.0,,,-26.14,-16.15,0.0,27.2,2018-08-10,pb
601166.XSHG,兴业银行,0.0,3.85,1.25,8.0,8.0,-1.22,-8.99,0.0,0.0,0.0,0.0,-11.48,-17.59,3.37,-11.96,0.0,23.19,2018-08-10,pb
000001.XSHE,平安银行,0.0,3.95,0.0,3.95,2.6,-13.19,-15.05,0.0,0.0,0.0,0.0,-21.01,-27.52,45.57,-31.3,0.0,28.61,2018-08-10,pb
600015.XSHG,华夏银行,0.0,1.59,0.0,1.59,0.0,-11.11,-20.0,0.0,0.0,0.0,0.0,-1.69,-32.76,3.85,-20.99,0.0,24.51,2018-08-10,pb
603323.XSHG,吴江银行,0.0,4.76,0.92,7.84,2.8,-11.29,-19.12,0.0,0.0,0.0,0.0,,,-43.53,-23.61,0.0,43.38,2018-08-10,pb
601229.XSHG,上海银行,-1.03,2.13,15.66,3.23,2.13,4.35,5.49,0.0,0.0,0.0,0.0,,,-34.07,7.87,0.0,57.8,2018-08-10,pb
002807.XSHE,江阴银行,0.0,2.83,-0.91,2.83,0.93,-14.17,-21.58,0.0,0.0,0.0,0.0,,,-26.01,-33.94,0.0,41.98,2018-08-10,pb
600919.XSHG,江苏银行,0.0,2.63,-1.27,1.3,0.0,-12.36,-16.13,0.0,0.0,0.0,0.0,,,-30.43,-18.75,0.0,25.33,2018-08-10,pb
600908.XSHG,无锡银行,0.0,1.77,-1.71,0.88,-1.71,-12.88,-19.58,0.0,0.0,0.0,0.0,,,-31.03,-28.13,0.0,38.42,2018-08-10,pb
601169.XSHG,北京银行,0.0,1.3,-1.27,1.3,0.0,-11.36,-17.02,0.0,0.0,0.0,0.0,3.33,-16.13,-5.77,-20.41,0.0,19.41,2018-08-10,pb
601988.XSHG,中国银行,0.0,1.32,0.0,0.0,1.32,-4.94,-7.23,0.0,0.0,0.0,0.0,-10.48,-23.4,18.06,-9.41,0.0,19.98,2018-08-10,pb
601398.XSHG,工商银行,-1.01,0.0,-1.01,2.08,7.69,-3.92,-7.55,0.0,0.0,0.0,0.0,-13.39,-17.53,37.5,-10.91,0.0,30.37,2018-08-10,pb
601998.XSHG,中信银行,0.0,1.25,-3.57,0.0,-1.22,-6.9,-6.9,0.0,0.0,0.0,0.0,-21.77,-20.87,-7.69,-3.57,0.0,28.52,2018-08-10,pb
601009.XSHG,南京银行,0.95,2.91,-4.5,0.0,-0.93,-10.92,-12.4,0.0,0.0,0.0,0.0,0.75,-22.22,11.43,-9.4,0.0,74.45,2018-08-10,pb
